事件ID,事件名称,字段名称,上报方,描述,备注,5.2 备注,,,,,,,,,,,,,,,
,,role_id,研发,角色ID（同一账号不同服的角色ID不同）,必填,,,,,,,,,,,,,,,,
,,role_name,研发,角色名称,,,,,,,,,,,,,,,,,
,,user_lev,研发,角色等级（升级后的角色等级）,必填,,,,,,,,,,,,,,,,
,,vip_lev,研发,角色VIP等级,,,,,,,,,,,,,,,,,
,,zhanli,研发,角色战力,,,,,,,,,,,,,,,,,
,,pre_lev,研发,升级前角色等级,,,,,,,,,,,,,,,,,
,,pre_vip_lev,研发,升级前角色VIP等级,,,,,,,,,,,,,,,,,
,,server_zone,研发,游戏服务器时区,海外游戏需要，服务端回传,,,,,,,,,,,,,,,,
,,server,研发,创角区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,realserver,研发,合服后玩家角色当前区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
106,订单埋点,user_id,SDK,用户ID,必填,,,,,,,,,,,,,,,,
,,yoka_id,SDK,认证系统网易ID,必填,,,,,,,,,,,,,,,,
,,user_type,SDK,账号类型\注册方式等(微信注册、手机注册、游客登录等),必填,,,,,,,,,,,,,,,,
,,role_id,研发,角色ID（同一不同服的角色ID不同）,必填,,,,,,,,,,,,,,,,
,,role_name,研发,角色名称,,,,,,,,,,,,,,,,,
,,user_lev,研发,角色等级,必填,,,,,,,,,,,,,,,,
,,vip_lev,研发,角色VIP等级,必填,,,,,,,,,,,,,,,,
,,amount,研发,充值金额(单位为元，保留两位小数),必填,,,,,,,,,,,,,,,,
,,gold,研发,充值获取的游戏货币,,,,,,,,,,,,,,,,,
,,order_id,研发,充值订单号,必填,,,,,,,,,,,,,,,,
,,recharge_channel,研发,充值渠道（例如微信、支付宝、华为、appstore、myCard）,必填,,*可参考“充值渠道名称参考”,,,,,,,,,,,,,,
,,currency,研发,货币类型（CNY\USD\EUR...）,必填,,,,,,,,,,,,,,,,
,,product_name,研发,购买道具ID（充值直购）,,,,,,,,,,,,,,,,,
,,product_ID,研发,购买道具名称（充值直购）,,,,,,,,,,,,,,,,,
,,sku,研发,appstore SKU,,,,,,,,,,,,,,,,,
,,is_success,研发,0：订单失败，1：订单成功，2：发起订单,必填，均为客户端获取,,,,,,,,,,,,,,,,
,,status,研发,失败状态：超时，网络问题等,,,,,,,,,,,,,,,,,
,,app_order_id,研发,充值商户订单号,,,,,,,,,,,,,,,,,
,,gssdk_order_id,研发,GSSDK订单号,,,,,,,,,,,,,,,,,
,,paycenter_order_id,研发,支付中心订单号,,,,,,,,,,,,,,,,,
,,other_order_id,研发,第三方订单号,,,,,,,,,,,,,,,,,
,,pay_amount,研发,支付金额,支付当地货币,,,,,,,,,,,,,,,,
,,pay_currency,研发,支付货币类型,支付当地货币类型,,,,,,,,,,,,,,,,
,,server_zone,研发,游戏服务器时区,海外游戏需要，服务端回传,,,,,,,,,,,,,,,,
,,server,研发,创角区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,realserver,研发,合服后玩家角色当前区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
107,前置埋点,user_id,SDK,用户ID,,,,,,,,,,,,,,,,,
,,yoka_id,SDK,认证系统网易ID,,,,,,,,,,,,,,,,,
,,user_type,SDK,账号类型\注册方式等(微信注册、手机注册、游客登录等),,,,,,,,,,,,,,,,,
,,role_id,研发,角色ID（同一不同服的角色ID不同）,,,,,,,,,,,,,,,,,
,,role_name,研发,角色名称,,,,,,,,,,,,,,,,,
,,step_id,研发,前置引导步骤ID,必填,,*可参考“前置sdk埋点梳理”,,,,,,,,,,,,,,
,,step_name,研发,前置引导步骤名称,必填,,,,,,,,,,,,,,,,
,,server_zone,研发,游戏服务器时区,海外游戏需要，服务端回传,,,,,,,,,,,,,,,,
,,server,研发,创角区服,,,,,,,,,,,,,,,,,
,,realserver,研发,合服后玩家角色当前区服,,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
108,新手引导埋点,user_id,SDK,用户ID,,,,,,,,,,,,,,,,,
,,yoka_id,SDK,认证系统网易ID,,,,,,,,,,,,,,,,,
,,user_type,SDK,账号类型\注册方式等(微信注册、手机注册、游客登录等),,,,,,,,,,,,,,,,,
,,role_id,研发,角色ID（同一不同服的角色ID不同）,,,,,,,,,,,,,,,,,
,,role_name,研发,角色名称,,,,,,,,,,,,,,,,,
,,step_id,研发,新手引导步骤ID,必填,,,,,,,,,,,,,,,,
,,step_name,研发,新手引导步骤名称,必填,,,,,,,,,,,,,,,,
,,server_zone,研发,游戏服务器时区,海外游戏需要，服务端回传,,,,,,,,,,,,,,,,
,,server,研发,创角区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,realserver,研发,合服后玩家角色当前区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
115,新手引导完成埋点,user_id,SDK,用户ID,,,,,,,,,,,,,,,,,
,,yoka_id,SDK,认证系统网易ID,,,,,,,,,,,,,,,,,
,,user_type,SDK,账号类型\注册方式等(微信注册、手机注册、游客登录等),,,,,,,,,,,,,,,,,
,,role_id,研发,角色ID（同一不同服的角色ID不同）,,,,,,,,,,,,,,,,,
,,role_name,研发,角色名称,,,,,,,,,,,,,,,,,
,,step_id,研发,新手引导步骤ID,必填,,,,,,,,,,,,,,,,
,,step_name,研发,新手引导步骤名称,必填,,,,,,,,,,,,,,,,
,,server_zone,研发,游戏服务器时区,海外游戏需要，服务端回传,,,,,,,,,,,,,,,,
,,server,研发,创角区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,realserver,研发,合服后玩家角色当前区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
116,设备有效,user_id,SDK,用户ID,必填,,,,,,,,,,,,,,,,
,,yoka_id,SDK,认证系统网易ID/第三方ID,必填,,,,,,,,,,,,,,,,
,,user_type,SDK,账号类型\注册方式等(微信注册、手机注册、游客登录等),必填,,,,,,,,,,,,,,,,
,,role_id,研发,角色ID（同一账号不同服的角色ID不同）,必填,,,,,,,,,,,,,,,,
,,role_name,研发,角色名称,,,,,,,,,,,,,,,,,
,,user_lev,研发,角色等级（升级后的角色等级）,必填,,,,,,,,,,,,,,,,
,,vip_lev,研发,角色VIP等级,,,,,,,,,,,,,,,,,
,,zhanli,研发,角色战力,,,,,,,,,,,,,,,,,
,,server_zone,研发,游戏服务器时区,海外游戏需要，服务端回传,,,,,,,,,,,,,,,,
,,server,研发,创角区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,realserver,研发,合服后玩家角色当前区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
大于10000,自定义事件,user_id,SDK,用户ID,必填,,,,,,,,,,,,,,,,
,,yoka_id,SDK,认证系统网易ID,必填,,,,,,,,,,,,,,,,
,,user_type,SDK,账号类型\注册方式等(微信注册、手机注册、游客登录等),必填,,,,,,,,,,,,,,,,
,,role_id,研发,角色ID（同一不同服的角色ID不同）,必填,,,,,,,,,,,,,,,,
,,role_name,研发,角色名称,,,,,,,,,,,,,,,,,
,,user_lev,研发,角色等级,必填,,,,,,,,,,,,,,,,
,,vip_lev,研发,角色VIP等级,,,,,,,,,,,,,,,,,
,,event_id,研发,自定义事件ID,必填,,,,,,,,,,,,,,,,
,,event_name,研发,自定义事件名称,必填,,,,,,,,,,,,,,,,
,,params,研发,json格式定义,必填,,,,,,,,,,,,,,,,
,,server_zone,研发,游戏服务器时区,海外游戏需要，服务端回传,,,,,,,,,,,,,,,,
,,server,研发,创角区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,realserver,研发,合服后玩家角色当前区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
199,上报信息反馈,event_id,SDK,"固定""199""",,,,,,,,,,,,,,,,,
,,start_time,SDK,"记录事件或者写入队列的时间（客户端本地时间,13位时间戳",,,,,,,,,,,,,,,,,
,,request_id,SDK,"请求响应id,请求成功必填",,,,,,,,,,,,,,,,,
,,request_time,SDK,客户端的请求时间（客户端本地时间，13位时间戳）,,,,,,,,,,,,,,,,,
,,request_location,SDK,上报URL,,,,,,,,,,,,,,,,,
,,response_took,SDK,"服务端处理耗时,请求响应成功",,,,,,,,,,,,,,,,,
,,response_time,SDK,"客户端请求结束时间,超时记录从发送到超时点时间,13位时间戳,",,,,,,,,,,,,,,,,,
,,response_status,SDK,响应状态0:成功1:客户端超时2:服务端原因导致3:客户端失败,,,,,,,,,,,,,,,,,
,,request_device,SDK,"上报设备唯一标识,deviceId",,,,,,,,,,,,,,,,,
,,request_os_version,SDK,客户端系统版本,,,,,,,,,,,,,,,,,
,,request_network,SDK,"数据上报网络,取值为设备字段:net_type",,,,,,,,,,,,,,,,,
,,request_event_cnt,SDK,上报的事件总数,,,,,,,,,,,,,,,,,
,,response_msg,SDK,"响应信息,success或者异常信息,或者客户端超时",,,,,,,,,,,,,,,,,
,,queue_remain_count,SDK,队列中数据剩余事件数,,,,,,,,,,,,,,,,,
110,激励视频,user_id,SDK,用户ID,必填,,,,,,,,,,,,,,,,
,,role_id,研发,角色ID（同一账号不同服的角色ID不同）,必填,,,,,,,,,,,,,,,,
,,user_lev,研发,角色等级,必填,,,,,,,,,,,,,,,,
,,server,研发,区服ID,必填,,,,,,,,,,,,,,,,
,,ad_sid,研发,视频流水ID,,,,,,,,,,,,,,,,,
,,ad_reward,研发,视频奖励目标,必填,,,,,,,,,,,,,,,,
,,ad_scene,研发,观看视频的场景值,,,,,,,,,,,,,,,,,
,,step_id,研发,步骤ID,必填,,,,,,,,,,,,,,,,
,,step_name,研发,步骤名称,,,,,,,,,,,,,,,,,
,,result,研发,结果状态参数,,,,,,,,,,,,,,,,,
,,result_msg,研发,结果状态信息,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
